id,bmd
1,18.197984
2,17.974748
3,17.72784
4,17.636735
5,17.634976
6,17.560326
7,17.500835
8,17.422629
9,17.40237
10,17.374556
11,17.363612
12,17.342809
13,17.334197
14,17.252519
15,17.250728
16,17.243185
17,17.224988
18,17.055704
19,16.96817
20,16.937094
21,16.935423
22,16.895653
23,16.869326
24,16.859129
25,16.833981
26,16.79496
27,16.77824
28,16.773392
29,16.755457
30,16.751774
31,16.707366
32,16.695387
33,16.687592
34,16.646156
35,16.622197
36,16.620217
37,16.615865
38,16.532549
39,16.527543
40,16.518872
41,16.510397
42,16.504088
43,16.478129
44,16.475843
45,16.474443
46,16.465484
47,16.45158
48,16.424282
49,16.408231
50,16.402114
51,16.384924
52,16.36687
53,16.343853
54,16.331649
55,16.330736
56,16.324655
57,16.31283
58,16.29947
59,16.2951
60,16.288096
61,16.27781
62,16.254792
63,16.253662
64,16.222116
65,16.212742
66,16.210747
67,16.192822
68,16.153712
69,16.141388
70,16.140145
71,16.140036
72,16.131612
73,16.122796
74,16.112726
75,16.099674
76,16.098553
77,16.098199
78,16.097076
79,16.087356
80,16.074306
81,16.072378
82,16.068376
83,16.067606
84,16.053401
85,16.0513
86,16.03117
87,16.020764
88,16.018307
89,16.017588
90,16.012054
91,16.000689
92,15.999582
93,15.995906
94,15.994498
95,15.977502
96,15.975075
97,15.965226
98,15.963072
99,15.961468
100,15.958678
101,15.950737
102,15.945043
103,15.943454
104,15.937505
105,15.936253
106,15.924827
107,15.921763
108,15.919599
109,15.914967
110,15.911404
111,15.898373
112,15.895589
113,15.892578
114,15.892334
115,15.889472
116,15.881742
117,15.881011
118,15.873741
119,15.87136
120,15.870589
121,15.865846
122,15.857574
123,15.855357
124,15.855355
125,15.846805
126,15.845932
127,15.84475
128,15.843836
129,15.840315
130,15.833844
131,15.80478
132,15.80149
133,15.796559
134,15.774817
135,15.766025
136,15.749076
137,15.741423
138,15.737676
139,15.737259
140,15.716264
141,15.711506
142,15.709158
143,15.705141
144,15.704502
145,15.704071
146,15.694332
147,15.683401
148,15.683379
149,15.678224
150,15.665715
151,15.665453
152,15.659609
153,15.657995
154,15.657037
155,15.652669
156,15.652342
157,15.651934
158,15.649866
159,15.646271
160,15.643585
161,15.642991
162,15.642364
163,15.632378
164,15.629251
165,15.622467
166,15.620425
167,15.612857
168,15.611383
169,15.607952
170,15.606187
171,15.605134
172,15.603114
173,15.599467
174,15.595474
175,15.594072
176,15.588303
177,15.582666
178,15.572989
179,15.5682
180,15.567012
181,15.565329
182,15.562218
183,15.561452
184,15.560107
185,15.558298
186,15.55228
187,15.550647
188,15.549648
189,15.544044
190,15.538533
191,15.532351
192,15.53068
193,15.528257
194,15.518436
195,15.517555
196,15.512
197,15.508283
198,15.504523
199,15.498054
200,15.493309
201,15.489492
202,15.48186
203,15.479834
204,15.475291
205,15.471225
206,15.46877
207,15.466817
208,15.464947
209,15.464432
210,15.463781
211,15.453393
212,15.452433
213,15.448749
214,15.44794
215,15.442904
216,15.438683
217,15.438486
218,15.435458
219,15.430866
220,15.427875
221,15.426465
222,15.422038
223,15.419414
224,15.415544
225,15.409708
226,15.409523
227,15.406471
228,15.40216
229,15.40159
230,15.397523
231,15.394574
232,15.393362
233,15.390253
234,15.386723
235,15.384993
236,15.384628
237,15.383785
238,15.382106
239,15.380434
240,15.378289
241,15.370659
242,15.36759
243,15.36301
244,15.352765
245,15.349621
246,15.343612
247,15.343058
248,15.338159
249,15.332757
250,15.332354
251,15.332281
252,15.326088
253,15.319652
254,15.318355
255,15.318253
256,15.316686
257,15.313063
258,15.312067
259,15.311657
260,15.309817
261,15.30808
262,15.307891
263,15.307359
264,15.307132
265,15.305752
266,15.303019
267,15.302131
268,15.301253
269,15.300707
270,15.300562
271,15.300199
272,15.295013
273,15.294148
274,15.293382
275,15.289094
276,15.285374
277,15.285347
278,15.280637
279,15.28017
280,15.276414
281,15.275702
282,15.274798
283,15.274758
284,15.274306
285,15.27231
286,15.270557
287,15.269907
288,15.268072
289,15.266325
290,15.261345
291,15.258706
292,15.256513
293,15.254792
294,15.254475
295,15.25101
296,15.250969
297,15.245779
298,15.243244
299,15.23062
300,15.230315
301,15.230168
302,15.228724
303,15.228662
304,15.227229
305,15.227102
306,15.226081
307,15.223429
308,15.222023
309,15.221008
310,15.218415
311,15.214968
312,15.213225
313,15.21318
314,15.211234
315,15.211097
316,15.209012
317,15.205429
318,15.205393
319,15.203562
320,15.198747
321,15.198227
322,15.1977
323,15.195868
324,15.195601
325,15.194166
326,15.191401
327,15.190558
328,15.190461
329,15.189953
330,15.189255
331,15.189057
332,15.186604
333,15.186222
334,15.182089
335,15.181902
336,15.181619
337,15.167562
338,15.163341
339,15.163251
340,15.160195
341,15.157895
342,15.156174
343,15.155726
344,15.15125
345,15.150038
346,15.149449
347,15.149328
348,15.149238
349,15.148916
350,15.14873
351,15.148419
352,15.147236
353,15.147012
354,15.145544
355,15.145175
356,15.145157
357,15.142275
358,15.14193
359,15.139699
360,15.138311
361,15.138182
362,15.135663
363,15.134399
364,15.133048
365,15.13001
366,15.127126
367,15.124899
368,15.122569
369,15.12077
370,15.12007
371,15.115474
372,15.110086
373,15.109761
374,15.109047
375,15.107592
376,15.102922
377,15.102168
378,15.100195
379,15.096233
380,15.092082
381,15.088211
382,15.088113
383,15.088096
384,15.086958
385,15.085447
386,15.082325
387,15.079585
388,15.073341
389,15.071609
390,15.070144
391,15.067094
392,15.063666
393,15.061626
394,15.061258
395,15.060175
396,15.059362
397,15.058632
398,15.052038
399,15.050738
400,15.050233
401,15.048824
402,15.047974
403,15.047252
404,15.046976
405,15.046346
406,15.045059
407,15.037239
408,15.036133
409,15.03603
410,15.034463
411,15.033597
412,15.032362
413,15.031289
414,15.030599
415,15.029867
416,15.028741
417,15.02518
418,15.0236
419,15.019981
420,15.018609
421,15.016945
422,15.01685
423,15.016829
424,15.016742
425,15.015059
426,15.012676
427,15.01214
428,15.00978
429,15.009249
430,15.009104
431,15.008003
432,15.004202
433,14.998711
434,14.996929
435,14.996652
436,14.993977
437,14.992335
438,14.991285
439,14.990519
440,14.989156
441,14.988242
442,14.987279
443,14.986964
444,14.98691
445,14.985694
446,14.983246
447,14.978536
448,14.972914
449,14.972021
450,14.965849
451,14.963106
452,14.956793
453,14.956527
454,14.955188
455,14.953764
456,14.952143
457,14.951935
458,14.94939
459,14.948909
460,14.946117
461,14.945188
462,14.943577
463,14.943125
464,14.941765
465,14.940045
466,14.938412
467,14.937326
468,14.936822
469,14.935835
470,14.935677
471,14.934493
472,14.933715
473,14.928381
474,14.927944
475,14.927694
476,14.926763
477,14.926051
478,14.921175
479,14.919665
480,14.916252
481,14.914431
482,14.912226
483,14.908993
484,14.907573
485,14.90428
486,14.902426
487,14.899639
488,14.898437
489,14.896026
490,14.894767
491,14.891929
492,14.891775
493,14.89167
494,14.891292
495,14.889755
496,14.886942
497,14.885837
498,14.88398
499,14.881809
500,14.881653
501,14.879411
502,14.879164
503,14.878046
504,14.877082
505,14.8761
506,14.876
507,14.875443
508,14.870719
509,14.86987
510,14.869783
511,14.869755
512,14.867933
513,14.867414
514,14.863656
515,14.863087
516,14.861786
517,14.861245
518,14.861021
519,14.860565
520,14.856359
521,14.855428
522,14.853583
523,14.852979
524,14.852042
525,14.851111
526,14.850766
527,14.849686
528,14.846377
529,14.84615
530,14.841904
531,14.841067
532,14.839344
533,14.838819
534,14.837909
535,14.837712
536,14.836604
537,14.832906
538,14.831916
539,14.829706
540,14.822119
541,14.821213
542,14.820582
543,14.820428
544,14.818618
545,14.817974
546,14.813478
547,14.812841
548,14.811154
549,14.810371
550,14.807388
551,14.807375
552,14.807048
553,14.806627
554,14.805431
555,14.804634
556,14.80343
557,14.802787
558,14.801929
559,14.801483
560,14.798518
561,14.798388
562,14.797765
563,14.796677
564,14.787559
565,14.786472
566,14.784773
567,14.782652
568,14.782178
569,14.781925
570,14.781888
571,14.78076
572,14.77869
573,14.778171
574,14.776562
575,14.770697
576,14.770341
577,14.769971
578,14.769572
579,14.768682
580,14.765534
581,14.764626
582,14.763714
583,14.763401
584,14.758782
585,14.756691
586,14.756517
587,14.755109
588,14.754065
589,14.751853
590,14.751683
591,14.750682
592,14.74997
593,14.747725
594,14.747691
595,14.747498
596,14.745564
597,14.74076
598,14.738224
599,14.737567
600,14.737272
601,14.736892
602,14.736767
603,14.734919
604,14.73443
605,14.732889
606,14.731609
607,14.730615
608,14.729848
609,14.729513
610,14.728274
611,14.728139
612,14.728002
613,14.727841
614,14.727672
615,14.727343
616,14.725821
617,14.725589
618,14.725354
619,14.724492
620,14.724409
621,14.724346
622,14.724052
623,14.723834
624,14.72354
625,14.722016
626,14.718999
627,14.71805
628,14.716205
629,14.714964
630,14.714243
631,14.713258
632,14.713009
633,14.712065
634,14.711866
635,14.711569
636,14.71073
637,14.707898
638,14.707328
639,14.706283
640,14.704031
641,14.703916
642,14.702076
643,14.701786
644,14.70154
645,14.699432
646,14.698588
647,14.697095
648,14.695596
649,14.693296
650,14.692911
651,14.691464
652,14.690757
653,14.690205
654,14.690103
655,14.690043
656,14.688959
657,14.685937
658,14.68555
659,14.683251
660,14.679874
661,14.679744
662,14.678399
663,14.677625
664,14.676145
665,14.674599
666,14.670119
667,14.668491
668,14.668059
669,14.668002
670,14.667944
671,14.666557
672,14.665641
673,14.665243
674,14.664867
675,14.663843
676,14.662238
677,14.659478
678,14.65824
679,14.657312
680,14.656985
681,14.654402
682,14.652612
683,14.652143
684,14.651695
685,14.650131
686,14.647852
687,14.644288
688,14.64371
689,14.642747
690,14.640598
691,14.639165
692,14.638897
693,14.637616
694,14.637388
695,14.63686
696,14.636652
697,14.635963
698,14.635814
699,14.630041
700,14.626953
701,14.625601
702,14.625547
703,14.624968
704,14.623959
705,14.623847
706,14.623136
707,14.622242
708,14.62132
709,14.620865
710,14.619159
711,14.618919
712,14.617699
713,14.616472
714,14.61533
715,14.615038
716,14.613122
717,14.612996
718,14.611673
719,14.609805
720,14.608748
721,14.607756
722,14.607284
723,14.605795
724,14.605541
725,14.604647
726,14.604288
727,14.603215
728,14.601496
729,14.60005
730,14.598828
731,14.596823
732,14.596452
733,14.595843
734,14.59424
735,14.592489
736,14.592336
737,14.591663
738,14.589174
739,14.587973
740,14.586974
741,14.584516
742,14.584156
743,14.584062
744,14.581412
745,14.581281
746,14.58065
747,14.580287
748,14.579357
749,14.577904
750,14.577115
751,14.575437
752,14.572908
753,14.569539
754,14.568888
755,14.567902
756,14.567788
757,14.567549
758,14.566586
759,14.564957
760,14.564798
761,14.563862
762,14.563583
763,14.562628
764,14.560866
765,14.559736
766,14.558208
767,14.557663
768,14.557002
769,14.556196
770,14.556167
771,14.556022
772,14.555524
773,14.553558
774,14.552878
